article_id,category
0,COVID
1,COVID
2,NEWS_OR_OTHER
3,COVID
4,MIGRATIONS
5,FIVE_G
6,COVID
7,COVID
8,COVID
9,COVID
10,COVID
11,COVID
12,COVID
13,COVID
14,COVID
15,COVID
16,FIVE_G
17,COVID
18,COVID
19,COVID
20,COVID
21,MIGRATIONS
22,COVID
23,COVID
24,MIGRATIONS
25,COVID
26,COVID
27,COVID
28,LGBT
29,COVID
30,COVID
31,FIVE_G
32,COVID
33,MIGRATIONS
34,COVID
35,COVID
36,LGBT
37,THE_WAR_IN_UKRAINE
38,COVID
39,COVID
40,COVID
41,COVID
42,COVID
43,COVID
44,COVID
45,COVID
46,COVID
47,COVID
48,COVID
49,COVID
50,COVID
51,COVID
52,COVID
53,COVID
54,COVID
55,COVID
56,COVID
57,COVID
58,COVID
59,COVID
60,COVID
61,LGBT
62,COVID
63,COVID
64,COVID
65,COVID
66,COVID
67,MIGRATIONS
68,COVID
69,COVID
70,COVID
71,COVID
72,COVID
73,COVID
74,COVID
75,COVID
76,COVID
77,COVID
78,COVID
79,COVID
80,COVID
81,COVID
82,COVID
83,COVID
84,COVID
85,THE_WAR_IN_UKRAINE
86,FIVE_G
87,COVID
88,COVID
89,COVID
90,COVID
91,LGBT
92,COVID
93,COVID
94,COVID
95,COVID
96,COVID
97,LGBT
98,COVID
99,THE_WAR_IN_UKRAINE
100,COVID
101,COVID
102,MIGRATIONS
103,COVID
104,COVID
105,COVID
106,COVID
107,MIGRATIONS
108,COVID
109,COVID
110,COVID
111,MIGRATIONS
112,MIGRATIONS
113,COVID
114,COVID
115,MIGRATIONS
116,COVID
117,COVID
118,COVID
119,MIGRATIONS
120,LGBT
121,COVID
122,MIGRATIONS
123,COVID
124,MIGRATIONS
125,COVID
126,COVID
127,COVID
128,MIGRATIONS
129,THE_WAR_IN_UKRAINE
130,FIVE_G
131,COVID
132,COVID
133,LGBT
134,COVID
135,COVID
136,COVID
137,FIVE_G
138,COVID
139,MIGRATIONS
140,COVID
141,COVID
142,LGBT
143,COVID
144,COVID
145,COVID
146,COVID
147,LGBT
148,COVID
149,COVID
150,COVID
151,COVID
152,COVID
153,COVID
154,LGBT
155,COVID
156,COVID
157,THE_WAR_IN_UKRAINE
158,COVID
159,COVID
160,LGBT
161,COVID
162,COVID
163,COVID
164,COVID
165,COVID
166,COVID
167,COVID
168,COVID
169,COVID
170,MIGRATIONS
171,COVID
172,COVID
173,LGBT
174,THE_WAR_IN_UKRAINE
175,COVID
176,COVID
177,COVID
178,COVID
179,COVID
180,COVID
181,COVID
182,LGBT
183,THE_WAR_IN_UKRAINE
184,COVID
185,COVID
186,COVID
187,COVID
